station,variable,matched_days,changed_above_0_051f_days,mismatch_after_round_to_whole_f,max_absolute_difference_f,mean_absolute_difference_f,note
USC00040136,temp_high_f,1461,644,0,0.0799999999999983,0.04413415468857005,"The cached API values are whole F in this sample; the direct archive stores 0.1 C. Differences must be assessed against source precision, not silently corrected."
USC00040136,temp_low_f,1461,661,0,0.0799999999999983,0.04443531827515454,"The cached API values are whole F in this sample; the direct archive stores 0.1 C. Differences must be assessed against source precision, not silently corrected."
USC00040983,temp_high_f,1452,649,0,0.0799999999999983,0.04421487603305853,"The cached API values are whole F in this sample; the direct archive stores 0.1 C. Differences must be assessed against source precision, not silently corrected."
USC00040983,temp_low_f,1455,631,0,0.0799999999999983,0.04394501718213134,"The cached API values are whole F in this sample; the direct archive stores 0.1 C. Differences must be assessed against source precision, not silently corrected."
USC00042863,temp_high_f,1460,654,0,0.0799999999999983,0.0444657534246581,"The cached API values are whole F in this sample; the direct archive stores 0.1 C. Differences must be assessed against source precision, not silently corrected."
USC00042863,temp_low_f,1460,681,0,0.0799999999999983,0.04516438356164435,"The cached API values are whole F in this sample; the direct archive stores 0.1 C. Differences must be assessed against source precision, not silently corrected."
USW00003177,temp_high_f,1436,602,0,0.0799999999999983,0.04350974930362193,"The cached API values are whole F in this sample; the direct archive stores 0.1 C. Differences must be assessed against source precision, not silently corrected."
USW00003177,temp_low_f,1434,653,0,0.0799999999999983,0.044714086471409266,"The cached API values are whole F in this sample; the direct archive stores 0.1 C. Differences must be assessed against source precision, not silently corrected."
USW00023188,temp_high_f,1461,664,0,0.0799999999999983,0.04605065023956231,"The cached API values are whole F in this sample; the direct archive stores 0.1 C. Differences must be assessed against source precision, not silently corrected."
USW00023188,temp_low_f,1461,653,0,0.0799999999999983,0.044052019164955804,"The cached API values are whole F in this sample; the direct archive stores 0.1 C. Differences must be assessed against source precision, not silently corrected."
USW00053120,temp_high_f,1455,619,0,0.0799999999999983,0.043312714776632975,"The cached API values are whole F in this sample; the direct archive stores 0.1 C. Differences must be assessed against source precision, not silently corrected."
USW00053120,temp_low_f,1456,709,0,0.26000000000000156,0.05502747252747311,"The cached API values are whole F in this sample; the direct archive stores 0.1 C. Differences must be assessed against source precision, not silently corrected."
